External_ID__c,Resource_Type__c,Organization_Name__c,Phone__c,Website__c,Email__c,Address__c,City__c,State__c,Zip_Code__c,Latitude__c,Longitude__c,Is_24_7__c,Serves_LGBTQIA__c,LGBTQ_Specialized__c,Trans_Inclusive__c,Non_Binary_Inclusive__c,Serves_BIPOC__c,BIPOC_Led__c,Serves_Male_Identifying__c,Serves_Undocumented__c,U_Visa_Support__c,VAWA_Support__c,No_ICE_Contact__c,Serves_Disabled__c,Wheelchair_Accessible__c,Serves_Deaf__c,ASL_Interpreter__c,Is_Free__c,Sliding_Scale__c,Services__c,Languages_Supported__c,Culturally_Specific__c,Description__c
SH032,Shelter,Wings Program,612-825-4357,www.wingsprogram.com,info@wingsprogram.com,1619 Dayton Ave,St. Paul,MN,55104,44.9576,-93.1595,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,TRUE,FALSE,"[Emergency Shelter,Transitional Housing,Economic Empowerment,Children Services]","[English,Spanish,Somali,Hmong]",[Multi-cultural],"Services: [Emergency Shelter,Transitional Housing,Economic Empowerment,Children Services]"
SH033,Hotline,Crisis Text Line,,www.crisistextline.org,,,New York,NY,10013,40.7195,-74.0089,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0,TRUE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,0,TRUE,FALSE,"[Crisis Support via Text,24/7 Support,Suicide Prevention]","[English,Spanish]",,"Services: [Crisis Support via Text,24/7 Support,Suicide Prevention]"
SH034,Legal Aid,Esperanza United,202-674-5608,www.esperanzaunited.org,info@esperanzaunited.org,1701 Brentwood Ave NE,Washington,DC,20018,38.9361,-76.9869,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,0,TRUE,FALSE,"[Legal Advocacy,Immigration Support,Leadership Development,Policy Work]","[Spanish,English]",[Latinx],"Services: [Legal Advocacy,Immigration Support,Leadership Development,Policy Work]"
SH035,Shelter,Breaking Free,651-645-6557,www.breakingfree.net,info@breakingfree.net,1821 University Ave,St. Paul,MN,55104,44.9562,-93.1607,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,TRUE,FALSE,"[Trafficking Survivors,Residential Program,Mental Health,Substance Abuse Treatment]","[English,Spanish,Somali]",[Multi-cultural],"Services: [Trafficking Survivors,Residential Program,Mental Health,Substance Abuse Treatment]"
SH036,Counseling,Jewish Family Service,415-449-1200,www.jfcs.org,info@jfcs.org,2150 Post St,San Francisco,CA,94115,37.7853,-122.4333,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,TRUE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,FALSE,TRUE,"[Counseling,Support Groups,Legal Advocacy,Refugee Services]","[English,Russian,Farsi,Hebrew]",[Jewish],"Services: [Counseling,Support Groups,Legal Advocacy,Refugee Services]"
SH037,Shelter,Womankind,218-722-2781,www.womankindinc.org,info@womankindinc.org,32 E First St,Duluth,MN,55802,46.7867,-92.1005,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,TRUE,FALSE,"[Emergency Shelter,Support Groups,Legal Advocacy,24/7 Crisis Line]",[English],,"Services: [Emergency Shelter,Support Groups,Legal Advocacy,24/7 Crisis Line]"
SH038,Legal Aid,Lambda Legal,212-809-8585,www.lambdalegal.org,legalhelpdesk@lambdalegal.org,120 Wall St,New York,NY,10005,40.7057,-74.0082,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,"[Legal Advocacy,LGBTQ+ Rights,HIV/AIDS,Impact Litigation]","[English,Spanish]",[LGBTQ+],"Services: [Legal Advocacy,LGBTQ+ Rights,HIV/AIDS,Impact Litigation]"
SH039,Hotline,RAINN National Sexual Assault Hotline,800-656-4673,www.rainn.org,,,Washington,DC,20036,38.9072,-77.0369,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0,TRUE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,0,TRUE,FALSE,"[Sexual Assault Support,24/7 Crisis Line,Resource Referrals]","[English,Spanish]",,"Services: [Sexual Assault Support,24/7 Crisis Line,Resource Referrals]"
SH040,Shelter,Rosie's Place,617-442-9322,www.rosiesplace.org,info@rosiesplace.org,889 Harrison Ave,Boston,MA,02118,42.3389,-71.0709,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,TRUE,FALSE,"[Emergency Shelter,Meals,Case Management,Job Training]","[English,Spanish,Haitian Creole]",[Women-only],"Services: [Emergency Shelter,Meals,Case Management,Job Training]"
SH041,Counseling,Men Stopping Violence,404-688-1376,www.menstoppingviolence.org,info@mensv.org,533 W Howard Ave,Decatur,GA,30030,33.7733,-84.2982,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,TRUE,"[Batterer Intervention,Community Accountability,Training,Prevention]",[English],,"Services: [Batterer Intervention,Community Accountability,Training,Prevention]"
SH042,Shelter,Doorways for Women and Families,703-504-9285,www.doorwaysva.org,info@doorwaysva.org,P.O. Box 10605,Arlington,VA,22210,38.8799,-77.1067,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,TRUE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,TRUE,FALSE,"[Emergency Shelter,Transitional Housing,Legal Advocacy,Economic Empowerment]","[English,Spanish,Amharic]",,"Services: [Emergency Shelter,Transitional Housing,Legal Advocacy,Economic Empowerment]"
SH043,Legal Aid,Immigrant Legal Resource Center,415-255-9499,www.ilrc.org,info@ilrc.org,1458 Howard St,San Francisco,CA,94103,37.7730,-122.4156,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,0,TRUE,FALSE,"[Immigration Legal Support,Training,Technical Assistance]","[English,Spanish]",[Multi-cultural],"Services: [Immigration Legal Support,Training,Technical Assistance]"
SH044,Hotline,Peer Listening Line (Trans Lifeline),877-565-8860,www.translifeline.org,,,Oakland,CA,94612,37.8044,-122.2712,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,"[Trans Peer Support,Crisis Support,Microgrants]","[English,Spanish]",[Trans],"Services: [Trans Peer Support,Crisis Support,Microgrants]"
SH045,Shelter,The Women's Center,570-823-1212,www.theWomenscenter.net,help@thewomenscenter.net,200 W Third St,Williamsport,PA,17701,41.2412,-77.0011,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,TRUE,FALSE,"[Emergency Shelter,Legal Advocacy,Counseling,Support Groups]",[English],,"Services: [Emergency Shelter,Legal Advocacy,Counseling,Support Groups]"
SH046,Counseling,Clinica Romero,617-983-3390,www.clinicaromero.org,info@clinicaromero.org,22 Union Park,Boston,MA,02118,42.3392,-71.0693,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE,0,FALSE,TRUE,FALSE,0,FALSE,TRUE,"[Mental Health Counseling,Case Management,Support Groups]","[Spanish,English,Portuguese]","[Latinx,Immigrant]","Services: [Mental Health Counseling,Case Management,Support Groups]"
SH047,Shelter,Family Violence Prevention Services,210-733-8810,www.fvps.org,info@fvps.org,P.O. Box 100927,San Antonio,TX,78201,29.4241,-98.4936,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,TRUE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,TRUE,FALSE,"[Emergency Shelter,Legal Advocacy,Counseling,Economic Empowerment]","[English,Spanish]",[Multi-cultural],"Services: [Emergency Shelter,Legal Advocacy,Counseling,Economic Empowerment]"
SH048,Legal Aid,Asian Americans Advancing Justice,213-977-7500,www.advancingjustice-la.org,info@advancingjustice-la.org,1145 Wilshire Blvd,Los Angeles,CA,90017,34.0501,-118.2655,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,0,TRUE,FALSE,"[Legal Services,Immigration,Civil Rights,Language Access]","[English,Chinese,Korean,Vietnamese,Tagalog]","[Asian American,Pacific Islander]","Services: [Legal Services,Immigration,Civil Rights,Language Access]"
SH049,Hotline,National Suicide Prevention Lifeline,988,www.988lifeline.org,,,New York,NY,10013,40.7195,-74.0089,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0,TRUE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,0,TRUE,FALSE,"[Crisis Support,Suicide Prevention,Mental Health]","[English,Spanish]",,"Services: [Crisis Support,Suicide Prevention,Mental Health]"
SH050,Shelter,The Shade Tree,702-385-0072,www.theshadetree.org,info@theshadetree.org,1 W Owens Ave,Las Vegas,NV,89106,36.1910,-115.1437,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,TRUE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,TRUE,FALSE,"[Emergency Shelter,24/7 Crisis Line,Children Services,Pet Shelter]","[English,Spanish]",[Multi-cultural],"Services: [Emergency Shelter,24/7 Crisis Line,Children Services,Pet Shelter]"
SH051,Shelter,Alabama Coalition Against DV,334-832-4842,www.acadv.org,info@acadv.org,P.O. Box 4762,Montgomery,AL,36103,32.3792,-86.3077,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,TRUE,FALSE,"[Emergency Shelter,Legal Advocacy,Counseling,Economic Support]","[English,Spanish]",[Multi-cultural],"Services: [Emergency Shelter,Legal Advocacy,Counseling,Economic Support]"
SH052,Legal Aid,Southern Poverty Law Center,334-956-8200,www.splcenter.org,intake@splcenter.org,400 Washington Ave,Montgomery,AL,36104,32.3777,-86.3005,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,"[Legal Advocacy,Immigration,Civil Rights,LGBTQ+ Rights]","[English,Spanish]","[Black,LGBTQ+]","Services: [Legal Advocacy,Immigration,Civil Rights,LGBTQ+ Rights]"
SH053,Shelter,SafeHouse Center Birmingham,205-731-6600,www.safehouseshelter.org,help@safehouse.org,P.O. Box 530598,Birmingham,AL,35253,33.5207,-86.8025,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,TRUE,FALSE,"[Emergency Shelter,Counseling,Children Services,Pet Fostering]",[English],,"Services: [Emergency Shelter,Counseling,Children Services,Pet Fostering]"
SH054,Shelter,Alaska Network on DV,907-586-3650,www.andvsa.org,info@andvsa.org,1209 Shotgun Rd,Juneau,AK,99801,58.3019,-134.4197,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,TRUE,FALSE,"[Emergency Shelter,Crisis Support,Legal Aid,Cultural Programs]",[English],[Alaska Native],"Services: [Emergency Shelter,Crisis Support,Legal Aid,Cultural Programs]"
SH055,Shelter,AWAIC Anchorage,907-272-0100,www.awaic.org,support@awaic.org,100 W 13th Ave,Anchorage,AK,99501,61.2181,-149.9003,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,TRUE,FALSE,0,TRUE,FALSE,"[Emergency Shelter,Legal Advocacy,Support Groups,Children Programs]","[English,Spanish,Tagalog]","[Alaska Native,Multi-cultural]","Services: [Emergency Shelter,Legal Advocacy,Support Groups,Children Programs]"
