resourceId,organizationName,resourceType,description,phone,email,website,address,latitude,longitude,servesLGBTQIA,lgbtqSpecialized,transInclusive,nonBinaryInclusive,servesBIPOC,bipocLed,servesUndocumented,uVisaSupport,vawaSupport,noICEContact,servesMaleIdentifying,servesDisabled,wheelchairAccessible,servesDeaf,aslInterpreter,isFree,slidingScale,is24_7,languagesSupported
11,Casa de Esperanza,shelter,"Latina-led DV shelter and support services",651-772-1611,info@casadeesperanza.org,https://www.casadeesperanza.org,"497 Wabasha St N, St. Paul, MN 55102",44.9537,-93.0900,true,false,false,false,true,true,true,false,true,true,false,true,true,false,false,true,true,true,"English;Spanish"
12,The Ali Forney Center,shelter,"LGBTQ+ youth homeless shelter",212-222-3427,info@aliforneycenter.org,https://www.aliforneycenter.org,"224 W 35th St Suite 1101, New York, NY 10001",40.7516,-73.9911,true,true,true,true,true,false,false,false,false,true,false,false,false,false,false,true,true,true,"English;Spanish"
13,Deaf Abused Women's Network (DAWN),shelter,"Shelter for Deaf and hard-of-hearing survivors",855-812-1001,dawn@deafdawn.org,https://www.deafdawn.org,"8623 Roosevelt Way NE, Seattle, WA 98115",47.6924,-122.3188,true,false,false,false,true,false,false,false,false,true,false,true,true,true,true,true,true,false,"ASL;English"
14,Safe Horizon,shelter,"NYC's largest DV shelter network",800-621-4673,info@safehorizon.org,https://www.safehorizon.org,"2 Lafayette St 3rd Floor, New York, NY 10007",40.7142,-74.0033,true,false,true,true,true,false,true,false,false,true,true,true,true,true,false,true,true,true,"English;Spanish;Mandarin;Arabic"
15,My Sister's Place DC,shelter,"Emergency shelter for women and children",202-529-5991,info@mysistersplacedc.org,https://www.mysistersplacedc.org,"PO Box 29596, Washington, DC 20017",38.9072,-77.0369,true,false,false,false,true,true,false,false,false,true,false,true,true,false,false,true,true,true,"English;Spanish"
16,Los Angeles LGBT Center,shelter,"LGBTQ+ emergency shelter and services",323-993-7400,info@lalgbtcenter.org,https://lalgbtcenter.org,"1625 N Schrader Blvd, Los Angeles, CA 90028",34.0990,-118.3287,true,true,true,true,true,false,true,false,false,true,false,true,true,false,false,true,true,true,"English;Spanish"
17,Sojourner Center,shelter,"Arizona's largest DV shelter",602-263-8900,info@sojournercenter.org,https://www.sojournercenter.org,"PO Box 20156, Phoenix, AZ 85036",33.4484,-112.0740,true,false,true,true,true,false,true,false,false,true,false,true,true,false,false,true,true,true,"English;Spanish"
18,Family Violence Appellate Project,legal_aid,"Appellate legal representation for DV survivors",415-800-0325,info@fvaplaw.org,https://www.fvaplaw.org,"870 Market St Suite 1151, San Francisco, CA 94102",37.7844,-122.4065,true,false,false,false,true,false,true,false,true,true,false,false,false,false,false,true,false,false,"English;Spanish"
19,Bet Tzedek Legal Services,legal_aid,"Free legal aid for low-income LA residents",323-549-5800,info@bettzedek.org,https://www.bettzedek.org,"3250 Wilshire Blvd Suite 1000, Los Angeles, CA 90010",34.0617,-118.3089,true,false,false,false,true,false,true,false,true,true,false,true,true,false,false,true,true,false,"English;Spanish;Korean;Mandarin"
20,Legal Aid Society NYC,legal_aid,"Free legal services for low-income New Yorkers",212-577-3300,info@legal-aid.org,https://www.legalaidnyc.org,"199 Water St, New York, NY 10038",40.7092,-74.0051,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,false,"English;Spanish;Mandarin;Arabic"
21,Tahirih Justice Center,legal_aid,"Immigration legal aid for women and girls fleeing violence",571-282-6161,info@tahirih.org,https://www.tahirih.org,"6402 Arlington Blvd Suite 700, Falls Church, VA 22042",38.8698,-77.1528,false,false,false,false,true,false,true,true,true,true,false,false,false,false,false,true,false,false,"English;Spanish;Arabic"
22,Northwest Immigrant Rights Project,legal_aid,"Immigration legal services for WA state",206-957-8611,nwirp@nwirp.org,https://www.nwirp.org,"615 2nd Ave Suite 400, Seattle, WA 98104",47.6032,-122.3353,true,false,false,false,true,false,true,true,true,true,false,false,false,false,false,true,false,false,"English;Spanish"
23,Jewish Family Service of Los Angeles,therapy,"Mental health counseling for trauma survivors",855-275-2369,info@jfsla.org,https://www.jfsla.org,"5700 Wilshire Blvd Suite 2250, Los Angeles, CA 90036",34.0620,-118.3525,true,false,false,false,true,false,true,false,false,true,false,true,true,true,false,false,true,false,"English;Spanish;Farsi"
24,The Center for Victims of Torture,therapy,"Specialized therapy for torture and trauma survivors",612-436-4800,info@cvt.org,https://www.cvt.org,"2356 University Ave W Suite 430, St. Paul, MN 55114",44.9564,-93.2009,true,false,false,false,true,true,true,false,false,true,true,true,true,true,false,true,true,false,"English;Spanish;Somali;Arabic"
25,Postpartum Support International,therapy,"Mental health support for postpartum survivors",800-944-4773,support@postpartum.net,https://www.postpartum.net,,34.0522,-118.2437,true,false,true,true,true,false,true,false,false,true,false,true,false,true,false,true,false,true,"English;Spanish"
26,GLBT National Youth Talkline,therapy,"Peer counseling for LGBTQ+ youth",800-246-7743,youth@glbthotline.org,https://www.glbtnationalhelpcenter.org,,37.7749,-122.4194,true,true,true,true,true,false,false,false,false,true,false,false,false,false,false,true,false,false,"English"
27,Men's Resource Center,therapy,"Therapy for male survivors of abuse",616-456-1178,info@mensresourcecenter.org,https://www.mensresourcecenter.org,"1000 E Paris Ave SE, Grand Rapids, MI 49546",42.9197,-85.6075,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,true,false,"English"
28,National Alliance on Mental Illness (NAMI),therapy,"Mental health education and support groups",800-950-6264,info@nami.org,https://www.nami.org,"3803 N Fairfax Dr Suite 100, Arlington, VA 22203",38.8876,-77.1129,true,false,true,true,true,false,true,false,false,true,true,true,true,true,false,true,false,false,"English;Spanish"
29,After Silence,therapy,"Online support for sexual violence survivors",info@aftersilence.org,https://www.aftersilence.org,,,,,true,false,true,true,true,false,true,false,false,true,true,true,false,true,false,true,false,true,"English"
30,Mary's Center,therapy,"Health and social services for underserved communities",202-483-8196,info@maryscenter.org,https://www.maryscenter.org,"2355 Ontario Rd NW, Washington, DC 20009",38.9200,-77.0418,true,false,false,false,true,true,true,false,true,true,false,true,true,false,false,false,true,false,"English;Spanish;Amharic"
31,Women's Law Project,legal_aid,"Legal advocacy for women's rights in PA",215-928-9801,info@womenslawproject.org,https://www.womenslawproject.org,"125 S 9th St Suite 300, Philadelphia, PA 19107",39.9496,-75.1545,true,false,true,true,true,false,true,false,true,true,false,true,true,true,false,true,false,false,"English;Spanish"
32,Bay Area Legal Aid,legal_aid,"Free civil legal services for low-income Bay Area residents",800-551-5554,info@baylegal.org,https://www.baylegal.org,"1800 Market St 3rd Floor, San Francisco, CA 94102",37.7739,-122.4194,true,false,true,true,true,false,true,true,true,true,false,true,true,true,false,true,false,false,"English;Spanish;Mandarin;Vietnamese"
33,Immigrant Defenders Law Center,legal_aid,"Free immigration legal services for detained immigrants",213-634-7290,info@immdef.org,https://www.immigrantdefenderslaw.org,"634 S Spring St 10th Floor, Los Angeles, CA 90014",34.0474,-118.2512,true,false,false,false,true,true,true,true,true,true,true,true,true,false,false,true,false,false,"English;Spanish"
34,KIND (Kids in Need of Defense),legal_aid,"Pro bono legal services for unaccompanied immigrant children",202-824-8680,info@supportkind.org,https://supportkind.org,"1300 L St NW Suite 1100, Washington, DC 20005",38.9037,-77.0298,false,false,false,false,true,false,true,false,true,true,false,false,false,false,false,true,false,false,"English;Spanish"
35,Legal Momentum,legal_aid,"Advancing women's rights through litigation and advocacy",212-925-6635,info@legalmomentum.org,https://www.legalmomentum.org,"32 Broadway Suite 1801, New York, NY 10004",40.7062,-74.0129,true,false,true,true,true,false,true,false,true,true,false,true,true,true,false,true,false,false,"English;Spanish"
36,Asian Americans Advancing Justice,legal_aid,"Civil rights and legal services for Asian American community",213-977-7500,info@advancingjustice-la.org,https://www.advancingjustice-la.org,"1145 Wilshire Blvd 2nd Floor, Los Angeles, CA 90017",34.0497,-118.2623,true,false,false,false,true,true,true,true,true,true,false,true,true,true,false,true,false,false,"English;Mandarin;Korean;Vietnamese;Tagalog"
37,Covenant House,shelter,"Emergency shelter for homeless youth under 21",800-388-3888,info@covenanthouse.org,https://www.covenanthouse.org,"5 Penn Plaza, New York, NY 10001",40.7505,-73.9934,true,false,true,true,true,false,true,false,false,true,true,true,true,false,false,true,false,true,"English;Spanish"
38,The Delores Project,shelter,"Supportive housing for homeless women",303-298-9578,info@thedeloresproject.org,https://www.thedeloresproject.org,"2100 Stout St, Denver, CO 80205",39.7501,-104.9886,true,false,true,true,true,true,false,false,false,true,false,true,true,false,false,true,true,true,"English;Spanish"
39,Rose Haven,shelter,"Day shelter for women and children",503-248-6364,info@rosehaven.org,https://www.rosehaven.org,"627 NW 18th Ave, Portland, OR 97209",45.5272,-122.6889,true,false,true,true,true,false,true,false,false,true,false,true,true,true,false,true,false,false,"English;Spanish"
40,Rosie's Place,shelter,"Emergency shelter for poor and homeless women",617-442-9322,info@rosiesplace.org,https://www.rosiesplace.org,"889 Harrison Ave, Boston, MA 02118",42.3375,-71.0722,true,false,true,true,true,false,true,false,false,true,false,true,true,true,false,true,false,false,"English;Spanish;Portuguese"
41,Genesis Women's Shelter,shelter,"Emergency DV shelter for Dallas women and children",214-946-4357,info@genesisshelter.org,https://www.genesisshelter.org,"PO Box 415053, Dallas, TX 75241",32.7767,-96.7970,true,false,false,false,true,false,true,false,false,true,false,true,true,false,false,true,true,true,"English;Spanish"
42,SafePlace,shelter,"DV and sexual assault shelter in Austin",512-267-7233,info@safeaustin.org,https://www.safeaustin.org,"PO Box 19454, Austin, TX 78760",30.2672,-97.7431,true,false,true,true,true,false,true,false,false,true,false,true,true,false,false,true,true,true,"English;Spanish"
43,YWCA Seattle,shelter,"Emergency DV shelter and supportive services",206-461-4888,info@ywcaworks.org,https://www.ywcaworks.org,"1118 5th Ave, Seattle, WA 98101",47.6080,-122.3333,true,false,true,true,true,true,true,false,false,true,false,true,true,true,false,true,true,true,"English;Spanish;Somali;Vietnamese"
44,The Night Ministry,shelter,"Overnight shelter and street outreach in Chicago",773-784-9000,info@thenightministry.org,https://www.thenightministry.org,"4711 N Ravenswood Ave Suite 101, Chicago, IL 60640",41.9667,-87.6738,true,false,true,true,true,false,true,false,false,true,true,true,true,true,false,true,false,true,"English;Spanish"
45,Housing Works,shelter,"Housing and support for people living with HIV/AIDS",212-966-0466,info@housingworks.org,https://www.housingworks.org,"57 Willoughby St, Brooklyn, NY 11201",40.6931,-73.9827,true,true,true,true,true,false,true,false,false,true,true,true,true,false,false,true,false,false,"English;Spanish"
46,WomenShelter of Long Beach,shelter,"Emergency DV shelter for women and children",562-437-4663,info@wslb.org,https://www.wslb.org,"PO Box 3057, Long Beach, CA 90803",33.7701,-118.1937,true,false,false,false,true,false,true,false,false,true,false,true,true,false,false,true,true,true,"English;Spanish;Tagalog"
47,Emergency Shelter Network,shelter,"Coordinated shelter access in Massachusetts",508-428-2126,info@emergencyshelternetwork.org,https://www.emergencyshelternetwork.org,"20 Bassett Ln, Hyannis, MA 02601",41.6528,-70.2895,true,false,false,false,true,false,false,false,false,true,true,true,true,false,false,true,true,false,"English;Spanish;Portuguese"
48,Urban Peak,shelter,"Crisis shelter for homeless youth in Denver",303-974-2900,info@urbanpeak.org,https://www.urbanpeak.org,"1630 S Acoma St, Denver, CO 80223",39.7403,-105.0079,true,true,true,true,true,false,true,false,false,true,true,true,true,false,false,true,false,true,"English;Spanish"
49,Doorways for Women and Families,shelter,"DV shelter and support in Arlington VA",703-237-0881,info@doorwaysva.org,https://www.doorwaysva.org,"PO Box 100185, Arlington, VA 22210",38.8816,-77.0910,true,false,true,true,true,false,true,false,false,true,false,true,true,true,false,true,true,true,"English;Spanish;Amharic;Arabic"
50,Next Door Solutions,shelter,"DV shelter and legal services in San Jose",408-279-2962,info@nextdoor.org,https://www.nextdoor.org,"PO Box 10277, San Jose, CA 95157",37.3382,-121.8863,true,false,false,false,true,false,true,false,false,true,false,true,true,false,false,true,true,true,"English;Spanish;Vietnamese"
51,Oasis Legal Services,legal_aid,"Immigration legal services for trafficking survivors",202-643-1803,info@oasislegalservices.org,https://www.oasislegalservices.org,"1025 Vermont Ave NW Suite 510, Washington, DC 20005",38.9027,-77.0344,false,false,false,false,true,false,true,true,true,true,false,false,false,false,false,true,false,false,"English;Spanish"
52,National Women's Law Center,legal_aid,"Policy advocacy and litigation for women's rights",202-588-5180,info@nwlc.org,https://nwlc.org,"11 Dupont Circle NW Suite 800, Washington, DC 20036",38.9099,-77.0435,true,false,true,true,true,false,true,false,true,true,false,true,true,true,false,true,false,false,"English"
53,Southern Poverty Law Center,legal_aid,"Civil rights litigation and advocacy",334-956-8200,info@splcenter.org,https://www.splcenter.org,"400 Washington Ave, Montgomery, AL 36104",32.3779,-86.3009,true,false,true,true,true,true,true,false,false,true,true,true,true,true,false,true,false,false,"English;Spanish"
54,Disability Rights Advocates,legal_aid,"Civil rights legal advocacy for people with disabilities",510-451-8644,info@dralegal.org,https://www.dralegal.org,"2001 Center St 3rd Floor, Berkeley, CA 94704",37.8703,-122.2685,false,false,false,false,true,false,true,false,false,true,false,true,true,true,true,true,false,false,"English;Spanish"
55,Equip for Equality,legal_aid,"Disability rights legal advocacy in Illinois",800-537-2632,info@equipforequality.org,https://www.equipforequality.org,"20 N Michigan Ave Suite 300, Chicago, IL 60602",41.8821,-87.6248,false,false,false,false,true,false,true,false,false,true,false,true,true,true,true,true,false,false,"English;Spanish"
56,Lambda Legal,legal_aid,"LGBTQ+ civil rights legal advocacy",212-809-8585,info@lambdalegal.org,https://www.lambdalegal.org,"120 Wall St 19th Floor, New York, NY 10005",40.7051,-74.0088,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,true,false,false,"English;Spanish"
57,ACLU Women's Rights Project,legal_aid,"Litigation advancing women's equality",212-549-2500,info@aclu.org,https://www.aclu.org,"125 Broad St 18th Floor, New York, NY 10004",40.7048,-74.0111,true,false,true,true,true,false,true,false,true,true,false,true,true,true,false,true,false,false,"English"
58,National LGBTQ+ Bar Association,legal_aid,"Pro bono legal services for LGBTQ+ community",202-637-7661,info@lgbtbar.org,https://lgbtbar.org,"1030 15th St NW Suite 1030W, Washington, DC 20005",38.9041,-77.0338,true,true,true,true,true,false,true,false,false,true,false,true,true,true,false,true,false,false,"English"
59,Immigrant Legal Resource Center,legal_aid,"Immigration law training and technical assistance",415-255-9499,info@ilrc.org,https://www.ilrc.org,"1458 Howard St, San Francisco, CA 94103",37.7738,-122.4151,false,false,false,false,true,false,true,true,true,true,false,false,false,false,false,true,false,false,"English;Spanish"
60,American Gateways,legal_aid,"Immigration legal services for low-income immigrants",512-478-0546,info@americangateways.org,https://www.americangateways.org,"314 E Highland Mall Blvd Suite 501, Austin, TX 78752",30.3287,-97.7153,true,false,false,false,true,true,true,true,true,true,false,false,false,false,false,true,false,false,"English;Spanish"
61,Catholic Charities,financial_assistance,"Emergency financial assistance and case management",varies,info@catholiccharitiesusa.org,https://www.catholiccharitiesusa.org,,,,,true,false,true,true,true,false,true,false,true,true,false,true,true,true,false,true,true,false,"English;Spanish"
62,Jewish Family Service,financial_assistance,"Financial assistance and social services",varies,info@jfssd.org,https://www.jfssd.org,,,,,true,false,false,false,true,false,true,false,false,true,false,true,true,true,false,false,true,false,"English;Spanish;Farsi"
63,The Salvation Army,financial_assistance,"Emergency financial assistance for rent and utilities",varies,info@salvationarmyusa.org,https://www.salvationarmyusa.org,,,,,true,false,false,false,true,false,true,false,false,true,true,true,true,false,false,true,false,false,"English;Spanish"
64,Modest Needs Foundation,financial_assistance,"Small emergency grants to prevent homelessness",info@modestneeds.org,https://www.modestneeds.org,,,,,true,false,true,true,true,false,true,false,false,true,false,true,false,true,false,true,false,false,"English"
65,Single Stop USA,financial_assistance,"Benefits screening and financial counseling",212-843-8230,info@singlestop.org,https://www.singlestop.org,"115 E 23rd St 7th Floor, New York, NY 10010",40.7395,-73.9865,true,false,true,true,true,false,true,false,false,true,false,true,true,true,false,true,false,false,"English;Spanish"
66,Freefrom,financial_assistance,"Cash assistance for DV survivors",info@freefrom.org,https://www.freefrom.org,,,,,true,false,true,true,true,true,true,false,false,true,false,true,false,true,false,true,false,false,"English;Spanish"
67,Purple Purse,financial_assistance,"Financial empowerment resources for DV survivors",info@purplepurse.com,https://www.purplepurse.com,,,,,true,false,false,false,true,false,true,false,false,true,false,false,false,false,false,true,false,false,"English"
68,YWCA Financial Empowerment Program,financial_assistance,"Financial literacy and emergency assistance",varies,info@ywca.org,https://www.ywca.org,,,,,true,false,true,true,true,true,true,false,false,true,false,true,true,true,false,true,true,false,"English;Spanish"
69,Sanctuary for Families,housing_assistance,"DV shelter and housing assistance in NYC",212-349-6009,info@sanctuaryforfamilies.org,https://www.sanctuaryforfamilies.org,"PO Box 1406, Wall Street Station, New York, NY 10268",40.7128,-74.0060,true,false,true,true,true,false,true,false,false,true,false,true,true,true,false,true,true,true,"English;Spanish;Mandarin;Arabic"
70,HomeFirst,housing_assistance,"Homeless services and housing in Santa Clara County",408-539-2100,info@homefirstscc.org,https://www.homefirstscc.org,"969 Park Ave, San Jose, CA 95126",37.3182,-121.9018,true,false,true,true,true,false,true,false,false,true,true,true,true,true,false,true,true,true,"English;Spanish;Vietnamese"
71,Housing Authority Resources,housing_assistance,"Section 8 vouchers and public housing assistance",varies,info@housingauthority.org,https://www.hud.gov/program_offices/public_indian_housing,,,,,true,false,true,true,true,false,true,false,true,true,false,true,true,true,false,true,false,false,"English;Spanish"
72,National Alliance to End Homelessness,housing_assistance,"Housing advocacy and resources",202-638-1526,info@naeh.org,https://endhomelessness.org,"1550 Crystal Dr 10th Floor, Arlington, VA 22202",38.8595,-77.0510,true,false,true,true,true,false,true,false,false,true,true,true,true,true,false,true,false,false,"English"
73,Project Sanctuary,immigration_support,"Torture rehabilitation and immigration services",602-278-1121,info@projectsanctuary.us,https://www.projectsanctuary.us,"1616 E Indian School Rd Suite 200, Phoenix, AZ 85016",33.4947,-112.0487,false,false,false,false,true,true,true,true,true,true,false,true,true,true,false,true,true,false,"English;Spanish;Arabic;Somali"
74,Florence Immigrant & Refugee Rights Project,immigration_support,"Free legal services for detained immigrants",520-287-5172,info@firrp.org,https://firrp.org,"PO Box 654, Florence, AZ 85132",33.0314,-111.3873,true,false,false,false,true,true,true,true,true,true,true,true,true,false,false,true,false,false,"English;Spanish"
75,RAICES,immigration_support,"Immigration legal services in Texas",210-521-3773,info@raicestexas.org,https://www.raicestexas.org,"600 Navarro St Suite 350, San Antonio, TX 78205",29.4241,-98.4936,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,false,"English;Spanish"
76,Al Otro Lado,immigration_support,"Immigration legal services at US-Mexico border",619-270-0598,info@alotrolado.org,https://alotrolado.org,"PO Box 73694, Los Angeles, CA 90003",34.0522,-118.2437,true,false,false,false,true,true,true,true,true,true,false,true,true,false,false,true,false,false,"English;Spanish"
77,Human Rights First,immigration_support,"Legal advocacy for refugees and asylum seekers",212-845-5200,info@humanrightsfirst.org,https://www.humanrightsfirst.org,"75 Broad St 31st Floor, New York, NY 10004",40.7048,-74.0116,true,false,true,true,true,false,true,true,true,true,false,false,false,false,false,true,false,false,"English;Spanish;Arabic"
78,International Rescue Committee,immigration_support,"Resettlement services for refugees",212-377-4000,info@rescue.org,https://www.rescue.org,"122 E 42nd St, New York, NY 10168",40.7527,-73.9772,true,false,false,false,true,true,true,true,true,true,false,true,true,true,false,true,false,false,"English;Spanish;Arabic;Somali;Dari"
79,United We Dream,immigration_support,"Immigrant youth advocacy and support",info@unitedwedream.org,https://unitedwedream.org,,,,,true,false,false,false,true,true,true,false,true,true,false,false,false,false,false,true,false,false,"English;Spanish"
80,ASISTA Immigration Assistance,immigration_support,"Immigration support for DV and trafficking survivors",515-244-2469,info@asistahelp.org,https://www.asistahelp.org,"722 E Grand Ave, Des Moines, IA 50309",41.5868,-93.6039,false,false,false,false,true,false,true,true,true,true,false,false,false,false,false,true,false,false,"English;Spanish"
81,Break the Cycle,therapy,"Dating abuse prevention for youth",310-286-3366,info@breakthecycle.org,https://www.breakthecycle.org,"PO Box 64996, Los Angeles, CA 90064",34.0522,-118.2437,true,false,true,true,true,false,true,false,false,true,true,false,false,false,false,true,false,false,"English;Spanish"
82,Futures Without Violence,therapy,"Training and resources for DV prevention",415-678-5500,info@futureswithoutviolence.org,https://www.futureswithoutviolence.org,"100 Montgomery St, San Francisco, CA 94104",37.7902,-122.4022,true,false,true,true,true,false,true,false,false,true,true,true,true,true,false,true,false,false,"English;Spanish"
83,National Organization for Victim Assistance,therapy,"Trauma support and victim advocacy",800-879-6682,info@trynova.org,https://www.trynova.org,"510 King St Suite 424, Alexandria, VA 22314",38.8063,-77.0442,true,false,true,true,true,false,true,false,false,true,true,true,true,true,false,true,false,true,"English;Spanish"
84,The Loveland Foundation,therapy,"Free therapy for Black women and girls",info@thelovelandfoundation.org,https://thelovelandfoundation.org,,,,,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,true,false,false,"English"
85,Therapy for Black Girls,therapy,"Mental health resources for Black women",info@therapyforblackgirls.com,https://therapyforblackgirls.com,,,,,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,true,false,"English"
86,The Steve Fund,therapy,"Mental health support for young people of color",info@stevefund.org,https://www.stevefund.org,,,,,true,false,false,false,true,true,false,false,false,true,true,false,false,false,false,true,false,false,"English"
87,Inclusive Therapists,therapy,"Directory of social justice-focused therapists",info@inclusivetherapists.com,https://www.inclusivetherapists.com,,,,,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,false,true,false,"English;Spanish"
88,Open Path Collective,therapy,"Affordable therapy ($30-$80 per session)",info@openpathcollective.org,https://openpathcollective.org,,,,,true,false,true,true,true,false,true,false,false,true,true,true,true,true,false,false,true,false,"English;Spanish"
89,BetterHelp,therapy,"Online therapy platform with financial aid",info@betterhelp.com,https://www.betterhelp.com,,,,,true,false,true,true,true,false,true,false,false,true,true,true,false,true,false,false,true,true,"English;Spanish"
90,7 Cups,therapy,"Free online emotional support chat",info@7cups.com,https://www.7cups.com,,,,,true,false,true,true,true,false,true,false,false,true,true,true,false,true,false,true,false,true,"English;Spanish;Mandarin;Arabic"
91,Crisis Text Line,hotline,"24/7 crisis support via text (text HOME to 741741)",info@crisistextline.org,https://www.crisistextline.org,,,,,true,false,true,true,true,false,true,false,false,true,true,true,false,true,false,true,false,true,"English;Spanish"
92,Love Is Respect,hotline,"Teen dating abuse hotline",866-331-9474,info@loveisrespect.org,https://www.loveisrespect.org,,,,,true,false,true,true,true,false,true,false,false,true,true,false,false,false,false,true,false,true,"English;Spanish"
93,VictimConnect Resource Center,hotline,"Referrals to local DV services",855-484-2846,info@victimconnect.org,https://www.victimconnect.org,,,,,true,false,true,true,true,false,true,false,false,true,true,true,true,true,false,true,false,false,"English;Spanish"
94,Safe Horizon Legal Hotline,hotline,"Free legal advice for DV survivors in NYC",212-577-3300,info@safehorizon.org,https://www.safehorizon.org,"2 Lafayette St 3rd Floor, New York, NY 10007",40.7142,-74.0033,true,false,true,true,true,false,true,false,false,true,true,true,true,true,false,true,false,false,"English;Spanish;Mandarin;Arabic"
95,National Human Trafficking Hotline,hotline,"24/7 support for trafficking survivors",888-373-7888,info@humantraffickinghotline.org,https://humantraffickinghotline.org,,,,,true,false,true,true,true,false,true,true,true,true,true,true,false,true,false,true,false,true,"English;Spanish;Mandarin;Arabic"
96,Cyber Civil Rights Initiative,hotline,"Support for non-consensual pornography victims",844-878-2274,info@cybercivilrights.org,https://www.cybercivilrights.org,,,,,true,false,true,true,true,false,true,false,false,true,true,true,false,true,false,true,false,false,"English"
97,WomensLaw.org,hotline,"Legal information for DV survivors",info@womenslaw.org,https://www.womenslaw.org,,,,,true,false,true,true,true,false,true,false,true,true,true,true,true,true,true,true,false,false,"English;Spanish"
98,National Resource Center on Domestic Violence,hotline,"Technical assistance and resources",800-537-2238,info@nrcdv.org,https://www.nrcdv.org,"6041 Linglestown Rd, Harrisburg, PA 17112",40.3252,-76.8229,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,true,false,false,"English;Spanish"
99,National Sexual Violence Resource Center,hotline,"Sexual assault information and referrals",877-739-3895,info@nsvrc.org,https://www.nsvrc.org,"2101 N Front St, Harrisburg, PA 17110",40.2788,-76.8856,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,true,false,false,"English;Spanish"
100,1in6,hotline,"Support for men who experienced sexual abuse",info@1in6.org,https://1in6.org,,,,,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,true,"English"
