id,resourceType,organizationName,phone,website,email,address,city,state,zipCode,latitude,longitude,servicesJson,hours,is24_7,servesLGBTQIA,lgbtqSpecialized,transInclusive,nonBinaryInclusive,servesBIPOC,bipocLed,culturallySpecificJson,servesMaleIdentifying,servesUndocumented,uVisaSupport,vawaSupport,noICEContact,servesDisabled,wheelchairAccessible,servesDeaf,aslInterpreter,languagesJson,isFree,slidingScale,acceptsChildren,childAgeRestrictions,acceptsDependentAdults,acceptsPets,hasChildcare,servesPregnant,servesSubstanceUse,servesTeenDating,servesElderAbuse,servesTrafficking,servesTBI,acceptsCriminalRecord,hasMedicalSupport,hasMentalHealthCounseling,traumaInformedCare,providesTransportation,transportationRadius,transportationPartnerships,offersVirtualServices,gasVoucherProgram,relocationAssistance,greyhoundHomeFreePartner,providesReproductiveHealthcare,reproductiveHealthcareServicesJson,acceptsOutOfStatePatients,providesRecoveryHousing,recoveryHousingDuration,financialAssistanceAvailable,travelFundingAvailable,childcareDuringAppointment,childcareDuringRecovery,accompanimentServices,lastVerified,verifiedBy,rating,reviewCount
SH011,legal_aid,Northwest Immigrant Rights Project,206-957-8611,www.nwirp.org,info@nwirp.org,615 2nd Ave,Seattle,WA,98104,47.6062,-122.3321,"[Immigration Legal Services,U-Visa,VAWA,Detention Defense]",Mon-Fri 9am-5pm,0,0,0,0,0,1,0,"[Latinx,Asian]",0,1,1,1,1,0,1,0,0,"[Spanish,English,Vietnamese,Somali]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.9,289
SH012,counseling,API Chaya,206-325-0325,www.apichaya.org,info@apichaya.org,P.O. Box 14047,Seattle,WA,98114,47.6062,-122.3321,"[Counseling,Support Groups,Legal Advocacy,Youth Services]",Mon-Fri 9am-5pm,0,1,0,0,0,1,1,"[South Asian,East Asian,Southeast Asian]",0,1,1,1,1,1,1,0,0,"[English,Hindi,Punjabi,Tagalog,Vietnamese]",1,1,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.8,145
SH013,shelter,The Network/La Red,617-742-4911,www.tnlr.org,info@tnlr.org,P.O. Box 6011,Boston,MA,02114,42.3601,-71.0589,"[Emergency Shelter,Advocacy,Counseling,Support Groups]",24/7 Hotline,1,1,1,1,1,1,0,[LGBTQ+],0,0,0,0,0,1,1,0,0,"[English,Spanish]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.7,178
SH014,legal_aid,Asian Pacific Islander Legal Outreach,415-567-6255,www.apilegaloutreach.org,info@apilegaloutreach.org,1188 Franklin St,San Francisco,CA,94109,37.7886,-122.4220,"[Legal Services,Immigration,Domestic Violence,Language Access]",Mon-Fri 9am-5pm,0,0,0,0,0,1,1,"[Asian,Pacific Islander]",0,1,1,1,1,0,1,0,0,"[English,Chinese,Vietnamese,Tagalog]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.9,234
SH015,shelter,My Sister's Place,202-529-5991,www.mosac.org,info@mosac.org,P.O. Box 29596,Washington,DC,20017,38.9072,-77.0369,"[Emergency Shelter,Transitional Housing,Legal Advocacy,Economic Empowerment]",24/7 Hotline,1,0,0,0,0,1,1,"[Black,African American]",0,0,0,0,0,1,1,0,0,[English],1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.8,156
SH016,hotline,StrongHearts Native Helpline,844-762-8483,www.strongheartshelpline.org,N/A,N/A,Rapid City,SD,57701,44.0805,-103.2310,"[Crisis Support,Safety Planning,Cultural Advocacy,Resource Referrals]",7am-10pm CST,0,0,0,0,0,1,1,"[Native American,Alaska Native]",0,0,0,0,0,0,0,0,0,[English],1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,National,4.9,423
SH017,shelter,Freedom House,555-890-1001,www.freedomhousedv.org,intake@freedomhouse.org,789 Liberty Road,Chicago,IL,60601,41.8781,-87.6298,"[Emergency Shelter,Counseling,Legal Services,Children Programs]",Mon-Sun 24/7,1,1,0,1,0,1,0,[Multi-cultural],0,1,0,1,1,1,1,0,0,"[English,Spanish,Polish]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.7,267
SH018,legal_aid,Disability Rights Advocates,510-451-8644,www.dralegal.org,intake@dralegal.org,2001 Center St,Berkeley,CA,94704,37.8715,-122.2730,"[Legal Advocacy,Accessibility Rights,DV Accommodations]",Mon-Fri 9am-5pm,0,0,0,0,0,0,0,[],0,0,0,0,0,1,1,1,0,"[English,Spanish]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.8,98
SH019,counseling,Sojourner House,401-658-3328,www.sojournerri.org,info@sojournerri.org,386 Smith St,Providence,RI,02908,41.8240,-71.4128,"[Counseling,Support Groups,Legal Advocacy,Children Services]",Mon-Fri 9am-5pm,0,1,0,0,0,1,0,[Multi-cultural],0,1,0,0,0,1,1,0,0,"[English,Spanish,Portuguese]",1,1,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.6,123
SH020,shelter,Trans Lifeline Safe Housing Network,877-565-8860,www.translifeline.org,N/A,N/A,Oakland,CA,94612,37.8044,-122.2712,"[Emergency Housing,Peer Support,Microgrants,Resource Navigation]",24/7 Hotline,1,1,1,1,1,0,0,[Trans],0,0,0,0,0,0,0,0,0,"[English,Spanish]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.9,567
SH021,shelter,YWCA Greater Los Angeles,323-692-3281,www.ywcagla.org,info@ywcagla.org,1020 S Olive St,Los Angeles,CA,90015,34.0426,-118.2571,"[Emergency Shelter,Transitional Housing,Economic Empowerment,Childcare]",Mon-Sun 24/7,1,1,0,0,0,1,1,"[Black,Latina]",0,1,0,0,0,1,1,0,0,"[English,Spanish]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.7,234
SH022,legal_aid,Tahirih Justice Center,571-282-6161,www.tahirih.org,intake@tahirih.org,6402 Arlington Blvd,Falls Church,VA,22042,38.8699,-77.1479,"[Immigration Legal Services,Forced Marriage,FGM/C,Honor Violence]",Mon-Fri 9am-5pm,0,0,0,0,0,1,1,"[Middle Eastern,South Asian,African]",0,1,1,1,1,0,1,0,0,"[English,Spanish,Arabic,Farsi]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.9,312
SH023,hotline,Love Is Respect,866-331-9474,www.loveisrespect.org,N/A,N/A,Austin,TX,78701,30.2672,-97.7431,"[Teen Dating Violence Support,Text/Chat Support,Safety Planning]",24/7 Hotline,1,1,0,1,0,1,0,[],0,0,0,0,0,0,0,0,0,"[English,Spanish]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,National,4.8,8976
SH024,shelter,Asha for Women,414-252-0075,www.ashafamily.org,info@ashafamily.org,P.O. Box 170084,Milwaukee,WI,53217,43.0896,-87.9498,"[Emergency Shelter,Counseling,Legal Advocacy,Cultural Support]",24/7 Hotline,1,0,0,0,0,1,1,[South Asian],0,1,0,0,0,0,1,0,0,"[English,Hindi,Urdu,Gujarati]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.8,67
SH025,counseling,The Los Angeles LGBT Center,323-993-7400,www.lalgbtcenter.org,info@lalgbtcenter.org,1625 N Schrader Blvd,Los Angeles,CA,90028,34.0984,-118.3291,"[Counseling,Youth Services,Senior Services,Trans Wellness Center]",Mon-Fri 9am-6pm,0,1,1,1,1,0,0,[LGBTQ+],0,0,0,0,0,1,1,0,0,"[English,Spanish]",1,1,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.9,1234
SH026,legal_aid,National Center for Lesbian Rights,415-392-6257,www.nclrights.org,info@nclrights.org,870 Market St,San Francisco,CA,94102,37.7843,-122.4059,"[Legal Advocacy,Family Law,Immigration,Policy Work]",Mon-Fri 9am-5pm,0,1,1,1,1,0,0,[LGBTQ+],0,0,0,0,0,0,0,0,0,"[English,Spanish]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.9,456
SH027,shelter,Raksha,404-870-7225,www.raksha.org,info@raksha.org,P.O. Box 371,Decatur,GA,30031,33.7748,-84.2963,"[Emergency Shelter,Counseling,Legal Advocacy,Youth Programs]",Mon-Fri 9am-5pm,0,0,0,0,0,1,1,[South Asian],0,1,0,0,0,1,1,0,0,"[English,Hindi,Gujarati,Tamil]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.7,89
SH028,hotline,VictimConnect Resource Center,855-484-2846,www.victimconnect.org,N/A,N/A,Washington,DC,20005,38.9072,-77.0369,"[Crisis Support,Resource Referrals,Information]",Mon-Fri 9am-5pm EST,0,1,0,0,0,1,0,[],1,1,0,0,0,1,0,1,0,"[English,Spanish,200+ via translation]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,National,4.6,2345
SH029,shelter,Safe Place for Youth,310-902-2283,www.safeplaceforyouth.org,info@safeplaceforyouth.org,2469 Lincoln Blvd,Venice,CA,90291,33.9993,-118.4668,"[Youth Emergency Shelter,Drop-in Center,Job Training,Housing Support]",Mon-Sun 24/7,1,1,1,1,1,1,0,[Youth],0,0,0,0,0,1,1,0,0,"[English,Spanish]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.8,178
SH030,legal_aid,Northwest Justice Project,888-201-1014,www.nwjustice.org,intake@nwjustice.org,401 2nd Ave S,Seattle,WA,98104,47.6021,-122.3321,"[Legal Aid,Protection Orders,Family Law,Immigration]",Mon-Fri 9am-12pm,0,1,0,0,0,1,0,[],0,1,1,1,0,1,1,0,0,"[English,Spanish,Russian,Vietnamese]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.7,567
SH031,counseling,The ManKind Project,301-652-2732,www.mkp.org,info@mkp.org,N/A,Kensington,MD,20895,39.0262,-77.0764,"[Men's Support Groups,Emotional Healing,Accountability Work]",Varies by location,0,1,0,0,0,0,0,[],1,0,0,0,0,0,0,0,0,[English],0,1,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.5,234
SH032,shelter,Wings Program,612-825-4357,www.wingsprogram.com,info@wingsprogram.com,1619 Dayton Ave,St. Paul,MN,55104,44.9576,-93.1595,"[Emergency Shelter,Transitional Housing,Economic Empowerment,Children Services]",Mon-Sun 24/7,1,0,0,0,0,1,0,[Multi-cultural],0,0,0,0,0,1,1,0,0,"[English,Spanish,Somali,Hmong]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.8,156
SH033,hotline,Crisis Text Line,N/A,www.crisistextline.org,N/A,N/A,New York,NY,10013,40.7195,-74.0089,"[Crisis Support via Text,24/7 Support,Suicide Prevention]",Text HOME to 741741,1,1,0,1,0,1,0,[],1,0,0,0,0,1,0,1,0,"[English,Spanish]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,National,4.9,15678
SH034,legal_aid,Esperanza United,202-674-5608,www.esperanzaunited.org,info@esperanzaunited.org,1701 Brentwood Ave NE,Washington,DC,20018,38.9361,-76.9869,"[Legal Advocacy,Immigration Support,Leadership Development,Policy Work]",Mon-Fri 9am-5pm,0,1,0,0,0,1,1,[Latinx],0,1,1,1,1,0,0,0,0,"[Spanish,English]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.8,123
SH035,shelter,Breaking Free,651-645-6557,www.breakingfree.net,info@breakingfree.net,1821 University Ave,St. Paul,MN,55104,44.9562,-93.1607,"[Trafficking Survivors,Residential Program,Mental Health,Substance Abuse Treatment]",Mon-Fri 9am-5pm,0,1,0,1,0,1,0,[Multi-cultural],0,0,0,0,0,1,1,0,0,"[English,Spanish,Somali]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.7,98
SH036,counseling,Jewish Family Service,415-449-1200,www.jfcs.org,info@jfcs.org,2150 Post St,San Francisco,CA,94115,37.7853,-122.4333,"[Counseling,Support Groups,Legal Advocacy,Refugee Services]",Mon-Fri 9am-5pm,0,0,0,0,0,1,0,[Jewish],0,1,0,0,0,1,1,0,0,"[English,Russian,Farsi,Hebrew]",0,1,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.6,189
SH037,shelter,Womankind,218-722-2781,www.womankindinc.org,info@womankindinc.org,32 E First St,Duluth,MN,55802,46.7867,-92.1005,"[Emergency Shelter,Support Groups,Legal Advocacy,24/7 Crisis Line]",Mon-Sun 24/7,1,1,0,0,0,0,0,[],0,0,0,0,0,1,1,0,0,[English],1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.7,67
SH038,legal_aid,Lambda Legal,212-809-8585,www.lambdalegal.org,legalhelpdesk@lambdalegal.org,120 Wall St,New York,NY,10005,40.7057,-74.0082,"[Legal Advocacy,LGBTQ+ Rights,HIV/AIDS,Impact Litigation]",Mon-Fri 9am-6pm EST,0,1,1,1,1,0,0,[LGBTQ+],0,0,0,0,0,0,0,0,0,"[English,Spanish]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.9,678
SH039,hotline,RAINN National Sexual Assault Hotline,800-656-4673,www.rainn.org,N/A,N/A,Washington,DC,20036,38.9072,-77.0369,"[Sexual Assault Support,24/7 Crisis Line,Resource Referrals]",24/7 Hotline,1,1,0,1,0,1,0,[],1,0,0,0,0,1,0,1,0,"[English,Spanish]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,National,4.9,23456
SH040,shelter,Rosie's Place,617-442-9322,www.rosiesplace.org,info@rosiesplace.org,889 Harrison Ave,Boston,MA,02118,42.3389,-71.0709,"[Emergency Shelter,Meals,Case Management,Job Training]",Mon-Sun 24/7,1,0,0,0,0,1,0,[Women-only],0,0,0,0,0,1,1,0,0,"[English,Spanish,Haitian Creole]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.8,234
SH041,counseling,Men Stopping Violence,404-688-1376,www.menstoppingviolence.org,info@mensv.org,533 W Howard Ave,Decatur,GA,30030,33.7733,-84.2982,"[Batterer Intervention,Community Accountability,Training,Prevention]",Mon-Fri 9am-5pm,0,0,0,0,0,0,0,[],1,0,0,0,0,0,0,0,0,[English],0,1,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.4,123
SH042,shelter,Doorways for Women and Families,703-504-9285,www.doorwaysva.org,info@doorwaysva.org,P.O. Box 10605,Arlington,VA,22210,38.8799,-77.1067,"[Emergency Shelter,Transitional Housing,Legal Advocacy,Economic Empowerment]",24/7 Hotline,1,1,0,0,0,1,0,[],0,1,0,0,0,1,1,0,0,"[English,Spanish,Amharic]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.7,178
SH043,legal_aid,Immigrant Legal Resource Center,415-255-9499,www.ilrc.org,info@ilrc.org,1458 Howard St,San Francisco,CA,94103,37.7730,-122.4156,"[Immigration Legal Support,Training,Technical Assistance]",Mon-Fri 9am-5pm,0,0,0,0,0,1,0,[Multi-cultural],0,1,1,1,1,0,0,0,0,"[English,Spanish]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.8,456
SH044,hotline,Peer Listening Line (Trans Lifeline),877-565-8860,www.translifeline.org,N/A,N/A,Oakland,CA,94612,37.8044,-122.2712,"[Trans Peer Support,Crisis Support,Microgrants]",10am-4am PST,0,1,1,1,1,0,0,[Trans],0,0,0,0,0,0,0,0,0,"[English,Spanish]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.9,1234
SH045,shelter,The Women's Center,570-823-1212,www.theWomenscenter.net,help@thewomenscenter.net,200 W Third St,Williamsport,PA,17701,41.2412,-77.0011,"[Emergency Shelter,Legal Advocacy,Counseling,Support Groups]",24/7 Hotline,1,0,0,0,0,0,0,[],0,0,0,0,0,1,1,0,0,[English],1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.6,89
SH046,counseling,Clinica Romero,617-983-3390,www.clinicaromero.org,info@clinicaromero.org,22 Union Park,Boston,MA,02118,42.3392,-71.0693,"[Mental Health Counseling,Case Management,Support Groups]",Mon-Fri 9am-6pm,0,0,0,0,0,1,1,"[Latinx,Immigrant]",0,1,0,0,0,0,1,0,0,"[Spanish,English,Portuguese]",0,1,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.7,134
SH047,shelter,Family Violence Prevention Services,210-733-8810,www.fvps.org,info@fvps.org,P.O. Box 100927,San Antonio,TX,78201,29.4241,-98.4936,"[Emergency Shelter,Legal Advocacy,Counseling,Economic Empowerment]",24/7 Hotline,1,1,0,0,0,1,0,[Multi-cultural],0,1,0,0,0,1,1,0,0,"[English,Spanish]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.8,267
SH048,legal_aid,Asian Americans Advancing Justice,213-977-7500,www.advancingjustice-la.org,info@advancingjustice-la.org,1145 Wilshire Blvd,Los Angeles,CA,90017,34.0501,-118.2655,"[Legal Services,Immigration,Civil Rights,Language Access]",Mon-Fri 9am-5pm,0,0,0,0,0,1,1,"[Asian American,Pacific Islander]",0,1,1,1,1,0,1,0,0,"[English,Chinese,Korean,Vietnamese,Tagalog]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,SafeHaven,4.9,567
SH049,hotline,National Suicide Prevention Lifeline,988,www.988lifeline.org,N/A,N/A,New York,NY,10013,40.7195,-74.0089,"[Crisis Support,Suicide Prevention,Mental Health]",Call/Text 988,1,1,0,1,0,1,0,[],1,0,0,0,0,1,0,1,0,"[English,Spanish]",1,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,[],0,0,0,0,0,,0,0,,0,0,0,0,0,1704067200,National,4.8,45678
